stop_name,routes,latitude,longitude,cluster
Άγ. Γεώργιος Λάγγουρα,"['702', '703', '704', '706', '707']",38.225602,21.749303,85
Κόμβος ΤΕΙ,"['702', '703', '704', '706', '707']",38.219193,21.750882,45
Γεωργίου Σεφέρη,"['702', '703', '704', '706', '707']",38.217234,21.752712,26
Μουστάκη,"['702', '703', '704', '706', '707']",38.212732,21.759622,77
Carrefour,"['702', '707']",38.211525,21.763072,78
Νταβλούρου,"['702', '707']",38.211691,21.765624,78
Αντωνοπούλου,"['702', '707']",38.212317,21.771044,9
Διακίδη,"['702', '707']",38.212708,21.774471,9
Σταύρου,"['702', '707']",38.211364,21.77778,8
Κανάρη,"['702', '707']",38.212366,21.781883,8
Σούλι,"['702', '707']",38.21333,21.785128,8
Μιαούλη,"['702', '707']",38.21195,21.780347,8
Νεροτριβές,"['702', '707']",38.209617,21.780317,8
Ποτάμι,"['702', '707']",38.20909,21.781626,8
Πορφυρίου,"['702', '707']",38.207044,21.77786,9
Ζωοδόχος Πηγή,"['702', '707']",38.207929,21.771681,9
Κλάους,"['703', '704', '707']",38.196589,21.767773,66
Άγ. Νικόλαος,"['703', '704', '707']",38.192179,21.760334,18
Σαραβάλι,"['703', '704', '707']",38.191279,21.757465,17
Πλατεία Σαραβαλίου,"['703', '704', '707']",38.19166,21.754803,17
Γεννηματά,"['703', '704', '707']",38.192622,21.755163,17
Ποτάμι 2,"['703', '704', '707']",38.204911,21.76323,66
Ι.Ν. Αγ. Γεωργίου,"['703', '704', '707']",38.201318,21.764772,66
Πετραδάκι,"['703', '704', '707']",38.199142,21.766068,66
Σπίτια,"['703', '704', '707']",38.193717,21.756902,17
Άγ. Στέφανος 1,"['703', '704', '707']",38.195604,21.756503,17
Γήπεδο Σαραβαλίου,"['703', '704', '707']",38.195843,21.75978,18
Πατρών - Κλάους,"['703', '704', '707']",38.20335,21.763882,66
Ομπλός,"['703', '704', '707']",38.193828,21.762578,18
Κοινότητα,"['703', '704', '707']",38.191195,21.7563,17
Αγ. Στεφάνου,"['703', '704', '707']",38.193721,21.756922,17
Πατρών Κλάους,"['703', '704', '707']",38.203352,21.763891,66
Νοσοκομείο Άγ. Ανδρέα,"['201', '801', '803']",38.235146,21.74648,52
Άγ. Νεκτάριος,"['201', '801', '803']",38.230163,21.74205,94
Ταραμπούρα,"['801', '803']",38.217496,21.740808,44
Ετεοκλέους Θουρίας,"['801', '803']",38.215748,21.740724,44
Διοκλέους,"['801', '803']",38.212465,21.739535,55
Ακρωτηρίου & Γλαύκου,"['801', '803']",38.210909,21.7391,55
Λαχαναγορά,"['801', '803']",38.208737,21.738227,49
Αμαλιάδος,"['801', '803']",38.207267,21.737628,49
Αγ. Σωτήρος,"['801', '803']",38.205128,21.736851,49
Ρίτσι,"['801', '803']",38.203348,21.735508,49
Ιάσωνος,"['801', '803']",38.201418,21.733606,49
Θεμιστοκλέους,"['801', '803']",38.197928,21.732762,32
Βλάχου,"['801', '803']",38.195304,21.731651,32
Κεφαλοβρύσου,"['801', '803']",38.193458,21.731967,32
Δημοκρατίας,"['801', '803']",38.190695,21.73082,58
Παλαιών Πατρών Γερμανού,"['801', '803']",38.189632,21.72964,58
Δημαρχείο Μεσσάτιδας,"['801', '803']",38.188589,21.72867,58
Νικολάου Ντεβέ,"['801', '803']",38.18773,21.728198,58
1ο Δημοτικό Σχολείο Οβρυάς,['801'],38.188529,21.724822,90
3ης Σεπτέμβρη,['801'],38.190482,21.723921,90
Κόμβος Περιμετρική,['801'],38.189278,21.720741,90
Εργατικές Κατοικίες 3,['801'],38.193239,21.712511,23
ΤΣ Οβρυά,['801'],38.193224,21.712474,23
Δεμένικα - Παιδικός Σταθμός,"['801', '803']",38.202346,21.737078,49
Σχολεία Δεμένικα,"['801', '803']",38.202025,21.739688,49
Άγ. Θεόδωροι,"['801', '803']",38.201562,21.744043,50
Τέρμα Δεμένικα,"['801', '803']",38.201263,21.745826,50
Έλληνος Στρατιώτου,"['801', '803']",38.188682,21.734089,58
Πλατεία Πρ. Ηλία,"['801', '803']",38.18716,21.735544,58
Μίνωος,['803'],38.182166,21.728044,87
Κυριαζής,['803'],38.180033,21.728649,87
Αγία Τριάδα,['803'],38.161908,21.727733,2
Άνω Καλλιθέα,['803'],38.162939,21.730452,2
Τέρμα Καλλιθέα,"['803', '804']",38.161668,21.732368,2
Καλλιθέα,"['803', '804']",38.163455,21.729325,2
Διασταύρωση,"['803', '804']",38.163366,21.727466,2
Μπότσαρη,"['803', '804']",38.165473,21.726992,2
Στροφές,"['803', '804']",38.168399,21.727103,2
Βότση,"['803', '804']",38.17042,21.727076,2
Πάροδος Παλαιοχώρας,['803'],38.171502,21.722259,93
Παλαιοχώρας,['803'],38.170334,21.719654,93
Θέα,['803'],38.168746,21.716645,93
ΤΣ Θέα,"['803', '804']",38.166494,21.71549,93
Σχολεία Κάτω Οβρυάς,['804'],38.192309,21.710267,23
Καπετάν Γκριντζάλη,['804'],38.190942,21.709916,64
Χρήστου Γιαλελή,['804'],38.191419,21.704602,64
Κόμβος Περιμετρικής,['804'],38.189254,21.720702,90
Ηλείας,['804'],38.194905,21.728241,32
Αγ. Νικολάου,"['202', '303', '601', '602', '603', '604', '606', '607', '608', '804']",38.247595,21.73744,73
Αιόλου,['804'],38.178744,21.726286,87
Κρητικού,['804'],38.193454,21.731973,32
Άγ. Διονύσιος,"['104', '901']",38.254071,21.738578,31
Πλατεία Αγ. Λαύρας - ΙΚΑ,"['104', '901']",38.255382,21.740747,31
Πολυνείκους,"['104', '901']",38.265951,21.74668,91
Καζαντζάκη,['901'],38.26929,21.750316,14
Εμμανουήλ Ροΐδη,['901'],38.272686,21.754625,88
Αφετηρία Parking Τερψιθέας,['111'],38.268072,21.738905,97
Μαρίνα,['111'],38.264226,21.739388,97
Parking,['111'],38.267202,21.739356,97
Ακτή Δημαίων & Παπαφλέσσα,"['501', '502', '118']",38.240894,21.726288,61
Ακτή Δημαίων & Β. Ηπείρου,"['501', '502', '118']",38.233179,21.724697,59
Αφετηρία Νέο Λιμάνι,['118'],38.226381,21.721396,72
Ι.Ν. Άγ. Ανδρέας,"['503', '118']",38.24141,21.726533,61
