stop_name,routes,latitude,longitude,cluster
Ανθούπολη,"['201', '609']",38.261324,21.753358,38
Α' Νεκροταφείο,['201'],38.260067,21.751479,38
Φίλιππα,['201'],38.258227,21.749348,38
Κωνσταντινουπόλεως,"['201', '301', '302', '609', '610']",38.255729,21.7429,31
Φαβιέρου,"['201', '301', '302', '609', '610']",38.254023,21.742224,31
Δικαστήρια,"['201', '301', '302', '501', '502', '610']",38.244018,21.731619,19
Τριών Ναυάρχων,"['201', '301', '302', '501', '502', '610']",38.242764,21.729931,19
Παπαφλέσσα,['201'],38.240877,21.72848,61
Ναυαρίνου,['201'],38.239644,21.729813,60
Ιεροθέου,['201'],38.23719,21.729319,62
Σκαγιοπούλειο,['201'],38.23616,21.730671,62
Απόστολος Παύλος,['201'],38.236991,21.734253,84
Πέντε Δρόμοι,['201'],38.237145,21.736082,84
Σμύρνης 1,['201'],38.237057,21.737756,83
Σμύρνης 2,['201'],38.237162,21.739783,82
Ιωνίας,['201'],38.235999,21.740006,82
Πλατεία Ελευθερίας,['201'],38.23529,21.741211,82
Πριγκηποννήσων,['201'],38.235326,21.74352,52
Νοσοκομείο Αγ. Ανδρέας,"['201', '801']",38.234976,21.746563,52
Κολωνάκι,"['201', '801', '803']",38.232381,21.744201,52
Άγιος Νεκτάριος,"['201', '801', '803']",38.230161,21.742053,94
Πλατεία Παπανδρέου,"['201', '801', '803']",38.228553,21.740931,94
Ευγενίας,"['201', '801', '803']",38.226991,21.742099,94
Ψαροφάι,"['201', '801', '803']",38.225396,21.742435,94
Ανάληψη,"['201', '801', '803']",38.223709,21.74258,94
Μιμόζα,"['201', '801', '803']",38.220362,21.741637,44
Άγιος Αιμιλιανός,['201'],38.219367,21.742989,44
Ταραμπούρα - ΤΕΙ,"['201', '202']",38.219171,21.745413,44
Μεγ. Αλεξάνδρου,['202'],38.2206,21.744687,44
Σκύρου,['202'],38.219233,21.743659,44
Φωκαίας,['202'],38.236426,21.74478,53
ΚΑΠΗ,['202'],38.23777,21.739783,82
Βουλγάρεως,['202'],38.23806,21.738578,83
Λόντου,['202'],38.237793,21.737465,83
Σολωμού,['202'],38.23631,21.730209,62
Αγία Βαρβάρα,['202'],38.238605,21.730643,62
Παπαφλέσσα & Κορίνθου,"['202', '303', '602']",38.241386,21.729435,19
Κορίνθου & Μιαούλη,"['202', '303', '602']",38.243265,21.731886,19
Ζαΐμη,"['202', '303', '601', '602', '603', '604', '606', '607', '608']",38.248998,21.739233,73
Πλατεία Πυροσβεστείου,"['202', '303', '601', '602', '603', '604', '606', '607', '608']",38.251501,21.742469,30
Μαράτου,"['202', '303', '601', '602', '603', '604', '606', '607', '608']",38.255243,21.745956,39
Κουρτέση,"['202', '303', '601', '602', '603', '604', '606', '607', '608']",38.257032,21.74804,39
Μειλίχου 1,"['202', '607']",38.265875,21.756742,46
Μειλίχου 2,"['202', '607']",38.264841,21.758909,47
Ολύμπιον,"['202', '607']",38.264328,21.760212,47
Τέρμα Θερμοπυλών,"['301', '302']",38.264537,21.750184,92
Θερμοπυλών,"['301', '302']",38.263217,21.749661,92
Ευπαλίνου,"['301', '302']",38.261155,21.748628,38
Εργατικές Κατοικίες,"['301', '302']",38.259856,21.74774,38
Πέντε Πηγαδίων,"['301', '302']",38.258266,21.745932,39
Ζακύνθου & Αγ. Σοφίας,"['301', '302']",38.256434,21.745052,39
Μαιζώνος & Παπαφλέσσα,"['301', '302', '610']",38.240656,21.727799,61
Σμύρνης,"['301', '302', '610']",38.238464,21.727401,60
Γ' ΔΟΥ,"['301', '302']",38.236579,21.727076,62
Μαιζώνος & Μαξίμου,"['301', '302']",38.234145,21.726781,59
Κορίνθου,"['301', '302']",38.233362,21.727826,59
Μεσολογγίου,"['301', '302']",38.233932,21.733344,12
Βύρωνος,"['301', '302']",38.235104,21.735824,84
13ο Δημοτικό Σχολείο Πατρών,"['301', '302']",38.234805,21.73735,84
Ελλησπόντου,"['301', '302']",38.233162,21.736709,84
Άγ. Ιωάννης Πράτσικα,"['301', '302']",38.231856,21.735934,12
Θεοδοσίου,"['301', '302']",38.230728,21.735185,12
Ανδρονίκου,"['301', '302']",38.228295,21.733795,12
Αιδηψού,"['301', '302']",38.227098,21.733252,12
Κομνηνών,"['301', '302']",38.226074,21.731744,12
Καρπενησιώτου,"['301', '302']",38.223996,21.731098,36
