0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0.0,772.9021347594478,9611.638680066424,9388.489672134252,9253.346360395668,9625.678613183814,5185.955163658365,5494.074429406099,4353.156681605056,3826.0538785367035,12225.633693712181,12042.413539124846,2033.925525232164,5296.670756196775,4757.020371385335,1738.7571790157294,1737.9949089666147,6198.995726698633,6059.963971368713,2090.7551821917064,1813.3697616405443,1575.116149543738,9476.06944177928,7447.245396690985,14478.730649700312,3301.207241047798,2773.858669902914,6488.40791219049,6418.868937388407,6666.572714461282,2716.9291859036116,3121.910725971767,5623.176094921066,14916.104923203797,2577.283488868615,7897.643521686676,2895.1614958285572,8572.032110269989,3884.916493507993,3533.83856855409,11344.816084599042,1577.8131086229207,1277.3590184551367,10556.601099923375,2879.6119016441985,2520.2397167098634,4680.268880426191,5078.49470745783,4814.501892681534,4448.080902039469,5380.607311258704,7291.015206060547,823.4608993633012,850.9961754197166,11569.174863350514,3860.159263519347,12210.861580618444,12456.121101024559,6381.953324243234,2654.792314322744,2347.956250864902,2522.396939555305,2222.0791730646924,6906.338692117502,8217.441335583117,7656.408017550855,4921.406699300818,6597.770491213486,10274.763363769522,9185.589806134109,7467.396664016604,9017.13004584057,5118.006356186724,1956.2960139086365,2197.3471879574236,2375.8034364188275,6272.865987665212,3739.9800305095887,3782.3183828868255,5517.8382585887775,446.075443798907,1072.637631502326,1227.3501710460512,1409.6129374380166,1665.5995243870018,1380.5258876012833,10701.558877302676,7594.243809136501,5505.938707952824,13562.067127251623,6655.8251138492315,4432.731248556072,4226.590533830608,9880.768749103172,1948.6693297489903,12738.972695192866,3490.267441765772,4395.517542904845
768.0209200178422,0.0,9688.003202522234,8915.023412602186,9197.393389167099,9569.725641955245,5130.002192429795,5438.121458177529,5055.298591767028,4528.195788698674,12169.680722483612,11568.94727959278,1977.9725540035943,5007.601634710897,4386.544799426389,2440.8990891776994,2440.1368191285846,6519.934659613575,6380.902904283655,1801.6860607058288,1524.3006401546668,1286.0470280578604,9002.603182247214,7523.609919146793,14005.264390168246,3622.1461739627375,3094.7976028178537,6770.900879419299,5945.402677856341,6193.106454929216,2427.8600644177336,2832.8416044858886,5699.540617376874,14860.151951975227,3284.636815541541,7841.690550458106,2971.526018284365,8098.565850737921,3411.450233975926,3113.4838063677234,11288.863113370473,2285.1664352958474,1984.7123451280631,10083.134840391309,2955.976424100006,2841.178649624803,4206.802620894123,4605.0284479257625,4341.035633149466,4524.445424495278,5456.971833714511,7998.368532733472,956.9834246232937,567.7065392287395,11095.708603818448,3936.5237859751546,11737.39532108638,11982.654841492495,6458.317846699043,2576.3722275070413,2190.144457803834,2233.327818069428,2064.267380003624,6617.269570631624,8293.805858038926,7732.772540006664,5242.34563221576,6541.8175199849165,9801.297104237456,8712.123546602043,6993.930404484538,9044.625017738164,5062.053384958154,1667.226892422759,1908.278066471546,2086.7343149329495,6980.219314338137,4060.9189634245286,4226.897885371528,5315.022855921958,1153.428770471833,1311.9313217556603,1089.9406699315234,1153.9404147815062,1609.646553158432,1701.4648205162223,10645.605906074106,7670.60833159231,5032.472448420758,13506.114156023054,6732.18963630504,4062.255676597126,3753.1242742985414,9957.13327155898,2025.033852204798,12265.5064356608,4197.620768438698,4106.448421418967
9434.660163882589,9706.442137761473,0.0,17931.288341802625,6821.407477458794,7259.9698310765725,6552.124755762723,6392.702266625703,9655.580564115315,9158.963779586475,8925.60439711437,20585.2122087932,8408.98983053521,13720.15614685512,13180.505762043676,9731.986871847235,9158.073173568207,6026.223688439991,6679.160537623287,10224.747106189068,10109.365687624599,9692.177652906772,18018.86811144765,4857.171695054194,23021.52931936868,7469.271342221978,7785.1490126233475,15820.96814548038,14961.66760705678,15209.371384129652,11140.414576561954,11545.396116630109,3988.4625851453584,11616.075626605985,10874.024201029944,6578.578125020714,7413.100434530896,17114.830779938362,12427.715163176365,11957.323959212432,8044.78678800123,10738.976043909177,10280.61213699986,19099.399769591735,6979.952070401851,7725.163656055798,13223.067550094558,13621.293377126198,13357.300562349901,5163.557778026955,5596.219343254798,16629.3321948915,8749.957493533162,9198.866503591218,20111.97353301889,6330.91758417713,20753.660250286823,20998.91977069293,3229.68535582319,9166.76318572037,9783.29886011836,9912.945526092357,9546.218652935375,15329.824082775847,5085.812253418128,4524.778935385866,7158.096568701454,5983.818878438652,18817.5620334379,17728.388475802487,16010.195333684977,5701.576231936735,8244.831559371476,10379.78140456698,10620.832578615767,10671.799362402882,12131.757187581863,8192.684576046488,8697.75076003946,14365.090121983038,9880.735607681498,10507.297795384911,8892.750298705787,9102.25885499839,8997.42963835649,8497.857379023828,7936.418595215602,2907.1312477133242,14048.737377621193,10262.037830653811,3557.3982720944796,12856.216639214414,12667.06157905314,1971.4365539245025,7663.268053514252,21281.771364861237,11577.954249445735,12819.002933563192
9553.879696989969,9070.687810555344,18201.462146127036,0.0,16482.04259176131,16854.374844549453,12414.651395024008,12722.770660771743,13189.200319757518,12662.097516689166,19454.329925077833,5667.500681560398,9929.639945105753,5724.201699409892,5222.153024117688,11013.294710144492,11194.65248425998,15196.785051420045,15057.75329609013,8479.109952365452,8173.024331587939,8520.98707312813,3991.1302520801287,15014.365572654773,5166.692097662494,12298.996565769216,11771.647994624329,7104.921980189317,3020.528677328301,3000.5846343110406,7295.522493785501,6857.262669531256,14212.999560981683,22144.801154569457,11352.214034338547,15126.339753052318,11136.685252164598,1725.937432239555,5599.769414471655,6229.139470975059,18573.51231596469,9592.146712194573,10052.289563925071,4724.741367762165,11469.435367704818,11518.029041431279,4805.700669811752,4953.093326284895,4671.467657556409,13037.904368100091,13970.430777319321,8841.069833418998,9633.833816429773,9147.645401635806,2257.1363113126968,12249.588767411848,5445.845682302002,5691.105202708115,14971.776790303848,9721.36837251045,9162.200502831463,8986.913790791355,9041.304914996033,6770.515737371228,15894.044400914005,15845.51130317159,13919.196024022232,13826.466722579129,3509.747465453077,3157.890549078392,1942.9726722923297,16329.274220332367,12346.702587552369,7597.777285488184,7779.689944613519,8553.606954235916,15047.796533135142,12737.769355231003,12903.748277178003,5649.043956691976,9959.063406560525,9870.552559996246,9270.491560251305,9138.822607963804,9413.22952453953,10378.315212322701,17930.255108668323,16184.067275197114,3951.201882888359,20790.76335861728,15184.294877520471,5546.442146946951,5467.867026552053,18470.592215163782,10538.492795809616,3426.9341431550483,12265.197987235702,6212.714943388823
9198.65971113183,9219.62706168923,6821.407477458795,16354.6770154578,0.0,1181.960337266558,4355.77565153768,3901.7655098176842,10436.600556711159,9939.983772182319,2972.287333316518,19008.600882448383,7262.023075223189,11777.21864126396,11412.535534518727,10144.140611523835,9506.681523218569,7050.357556444217,7703.294405627514,8193.805425610679,8351.43616714467,8437.61421151161,16442.256785102833,2980.60915328522,21444.917993023857,7973.261942833721,8204.083363560874,14244.356819135555,13385.056280711955,13632.760057784828,9347.390752218282,9795.820337629608,4769.482577741203,5662.758562808132,11292.958551967471,1371.9936452228262,6469.817259004748,15538.21945359354,10851.10383683154,10380.712632867608,2091.469724203375,10753.609655684984,10295.245748775667,17522.788443246918,7213.065632615157,8094.695859291059,11646.456223749734,12044.682050781374,11780.689236005077,5944.5777706228,6377.239335850643,16003.031738090056,8513.957040782403,8641.773081417978,18535.362206674065,5655.801119861078,19177.048923941995,19422.308444348102,4658.885321601506,6764.377170396666,7500.849766857942,7510.559510768652,7451.744162219562,13386.886577184687,2324.3239880016054,2885.357306033868,8071.825237127882,2655.5758691821798,17240.95070709307,16151.77714945766,14433.584007340152,1524.635277744152,5842.445544047778,8932.414501768773,9044.221252270943,8686.117690223939,12912.777180177707,8699.947523332874,9247.330818451626,12788.478795638213,9644.735154930739,10271.297342634152,8202.355679973685,8194.048012488081,7581.328529668967,8821.799507114583,1983.1015314177466,5611.750073179314,12472.12605127637,4308.720766855959,3885.940209735492,11088.246411689464,11090.450252708315,5169.912532464525,7751.398903728603,19705.160038516413,12113.902658819754,10876.065427972031
9576.80202042939,9597.76937098679,7259.969831076573,16732.81932475536,1181.960337266558,0.0,4741.608049526021,4279.907819115247,10977.762433763372,10481.145649234531,3018.7824808826153,19386.743191745943,7640.165384520751,12155.360950561522,11790.677843816291,10522.282920821399,9884.823832516133,7591.519433496432,8244.456282679728,8571.947734908243,8729.578476442233,8815.756520809171,16820.399094400393,3521.771030337435,21823.060302321417,8359.094340822061,8582.225672858438,14622.499128433119,13763.198590009519,14010.902367082392,9725.533061515845,10173.962646927172,5310.644454793417,5627.648912499595,11671.100861265033,1728.0350914971382,6847.95956830231,15916.361762891103,11229.246146129104,10758.854942165171,2331.175873694033,11131.751964982544,10673.388058073228,17900.93075254448,7591.2079419127185,8472.83816858862,12024.598533047298,12422.824360078937,12158.83154530264,6412.539710113085,6918.401212902857,16381.17404738762,8892.099350079963,9019.915390715538,18913.504515971625,6041.633517849419,19555.191233239562,19800.45075364567,5191.357200128516,7142.519479694228,7878.992076155504,7888.701820066214,7829.886471517124,13765.028886482249,2856.7958665286155,3417.829184560878,8612.987114180094,3141.8946656556295,17619.093016390638,16529.919458755223,14811.726316637716,2057.1071562711622,6220.58785334534,9310.556811066333,9422.363561568507,9064.259999521502,13453.93905722992,9085.779921321213,9633.163216439967,13166.621104935777,10022.877464228299,10649.439651931712,8580.497989271245,8572.190321785642,7959.470838966529,9199.941816412143,1075.880264118865,6144.221951706324,12850.268360573933,4273.611116547421,4418.412088262502,11466.388720987028,11468.592562005879,5660.172617885761,8129.541213026165,20083.302347813973,12492.044968117316,11254.207737269593
5106.878538599948,5127.845889157353,6552.124755762722,12262.89584292593,4347.178479761175,4761.901171782711,0.0,523.4807149507714,6379.683264058281,5883.066479529443,7319.465813077695,14916.81970991652,3170.241902691311,7685.437468732084,7320.754361986849,5868.15245865404,5230.693370348774,4828.763150133162,5763.212111073276,4102.0242530788,4259.654994612792,4345.833038979727,12350.475612570955,2722.4991853824577,17353.136820491985,3617.486291296041,3928.095210691072,10152.575646603676,9293.275108180082,9540.978885252955,5255.609579686406,5704.039165097733,3037.113954274049,10009.937042569307,7016.970399097674,3033.866080285573,2378.036086472868,11446.438281061666,6759.322664299665,6288.93146033573,6438.648203964552,6661.828483153105,6203.464576243789,13431.00727071505,2937.0774797453546,3818.707706421258,7554.675051217861,7952.9008782495,7688.9080634732045,2071.5655121605855,3047.4768635536325,11911.250565558177,4422.175868250522,4549.991908886097,14443.581034142191,1300.025468323399,15085.26775141012,15330.527271816234,3400.2507087462336,2672.5959978647866,3409.0685943260623,3418.7783382367734,3359.9629896876804,9295.105404652812,3602.178013641694,3553.6449158992727,4669.101059503503,1721.6893339191945,13149.169534561195,12059.995976925786,10341.802834808279,4037.407833060058,1750.6643715158978,4840.633329236891,4952.4400797390645,4594.336517692061,8855.859887524828,4344.171871795194,4891.555166913949,8696.697623106333,5552.953982398854,6179.516170102275,4110.574507441803,4102.266839956199,3489.5473571370862,4570.4775758043925,5837.7814359015765,4534.729884832799,8380.344878744496,8655.899246617133,3155.913281694216,6996.465239157586,6998.669080176437,6587.133377100776,3605.808315166153,15613.378865984543,7837.914505949952,6784.284255440154
5296.894201314143,5317.861551871548,6385.933989676492,12452.911505640124,3999.047047854161,4371.379300642308,475.10627805482613,0.0,6854.789542113108,6358.17275758427,6971.33438117068,15106.835372630716,3360.2575654055054,7875.453131446279,7510.770024701044,6242.375101706156,5604.91601340089,5026.048873227816,5960.49783416793,4292.039915792994,4449.670657326986,4535.8487016939225,12540.49127528515,2531.3700287476295,17543.15248320618,4092.5925693508684,4302.317853743189,10342.591309317868,9483.290770894277,9730.99454796715,5445.625242400601,5894.054827811928,2870.9231881878195,9661.805610662293,7391.193042149791,2643.3442091451707,2568.0517491870633,11636.453943775861,6949.338327013859,6478.947123049924,6090.516772057536,6851.8441458673,6393.4802389579845,13621.022933429245,3311.3001227974714,4192.930349473375,7744.690713932056,8142.916540963695,7878.923726187399,2268.8512352552398,3244.7625866482867,12101.266228272369,4612.1915309647175,4740.007571600292,14633.596696856386,1775.1317463782252,15275.283414124315,15520.54293453043,3234.059942660004,2862.6116605789816,3599.0842570402574,3608.7940009509684,3549.9786524018755,9485.121067367007,3411.048857006866,3362.5157592644446,5144.1147959406735,1343.471178671982,13339.18519727539,12250.01163963998,10531.818497522474,3846.2786764252296,1940.6800342300921,5030.648991951086,5142.455742453259,4784.352180406256,9330.966165579654,4819.278149850022,5366.661444968775,8886.713285820526,5742.969645113049,6369.53183281647,4300.590170155999,4292.282502670394,3679.5630198512813,4920.033997296896,5447.259564761173,4368.539118746569,8570.360541458691,8307.76781471012,2989.722515607986,7186.4809018717815,7188.684742890631,6405.7179066950885,3849.633393910917,15803.394528698738,8212.137149002068,6974.299918154349
4353.156681605057,5053.253942727496,9743.240213982392,13262.217597823972,10543.19184797127,11073.22030510582,6359.892078547149,6883.372793497921,0.0,582.1852698727054,12905.753537703313,14719.980108725029,5390.147690871308,9577.02256416482,9037.37217935338,2749.8183448060445,3131.180568663643,3983.7260127161935,3844.694257386272,6225.727704286114,6093.7215696085905,5693.158251003817,13486.832093792429,7882.372405056078,18125.073255706528,2994.872531751214,2852.903938686981,9011.651044136877,10292.596863078126,10702.342095449554,6997.280993871657,7402.2625339398155,5773.709270230064,15596.224767194928,1992.6253527938916,9345.185213608682,4859.359984730011,12445.76003595971,8228.304754912297,7814.190376522135,12024.935928590174,3821.3469549092792,3260.8359764813554,13534.547808577936,3950.126116390561,3262.3762464832707,9023.657141830488,8931.695979629545,9157.890154085831,4806.308926752459,4302.34081691167,9814.258338006932,4797.942813801774,4960.336108698716,15442.902789040238,5116.137039365733,14498.32510946663,14743.584629872745,6513.554858159201,6330.746910378164,6429.073898605596,6653.734869768529,6191.9936914226055,11186.690500085546,8367.974510892116,7806.941192859854,2706.1369853183787,8045.312183135492,12562.226892617706,12653.592390790685,11341.124589706324,9167.663221149569,7293.301809969434,6236.647821876683,6477.69899592547,6656.155244386872,2507.381643746076,2186.63842545054,1720.803656133307,8041.081390535164,4073.4723739862247,4729.907785883355,5322.498093826747,5518.952870717016,5643.204676843727,4140.685486296954,11916.567735804547,7725.845343052468,9721.623561880848,14242.186971242754,6806.35828915823,8713.083056524118,8523.927996362841,10012.370283019138,4518.800294532695,16612.700620882588,2322.406280018339,8675.86935087289
3826.0538785367044,4526.151139659143,9246.623429453553,12735.11479475562,10046.575063442433,10576.603520576982,5863.275294018311,6386.756008969082,582.1852698727055,0.0,12409.136753174476,14670.231182281166,4807.962420998605,9049.919761096467,8510.26937628503,2222.7155417376916,2585.016775019308,3487.109228187356,3348.077472857435,5698.62490121776,5566.6187665402385,5166.055447935463,12984.736019699203,7385.755620527241,17825.35577232168,2412.6872618785087,2270.7186688142765,8484.548241068525,9765.494060009774,10175.239292381202,6470.178190803305,6875.159730871464,5277.092485701228,15099.607982666092,1942.87642635003,8848.568429079844,4277.174714857307,11918.657232891359,7701.201951843944,7287.087573453783,11528.319144061337,3294.2441518409264,2733.7331734130025,13484.798882134073,3367.9408465178567,2680.1909766105664,8496.554338762138,8404.593176561193,8630.787351017481,4309.692142223622,3805.7240323828332,9287.155534938582,4251.779020157441,4433.233305630362,14915.799985971886,4619.520254836894,14448.576183022768,14693.835703428882,6016.938073630363,5748.561640505458,5846.88862873289,6126.6320667001755,5609.808421549899,10659.587697017194,7871.35772636328,7310.324408331017,2209.520200789542,7548.695398606654,12512.477966173843,12532.214928755478,10814.021786637972,8671.046436620732,6711.116540096728,5709.545018808331,5950.596192857118,6129.05244131852,2980.4210806013243,1690.0216409217023,1138.6183862606015,7513.978587466811,3546.369570917872,4202.804982815002,4795.3952907583935,4991.850067648662,5061.0194069710205,3558.5002164242483,11419.95095127571,7229.2285585236295,9194.520758812498,13745.570186713918,6309.741504629394,8185.980253455768,7996.82519329449,9515.7534984903,3936.615024659989,16085.597817814238,2474.4587877336294,8148.766547804538
