stop_name,latitude,longitude,description
Ομόνοια,38.240948,21.738981,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>702 Σούλι<br>703 Μπεγουλάκι - Σαραβάλι<br>704 Σαραβάλι - Κρήνη<br>706 Parking Περιβόλα<br>707 Σούλι - Σαραβάλι<br>801 Άνω - Κάτω Οβρυά - Δεμένικα<br>803 Καλλιθέα - Θέα - Δεμένικα
Άγιος Δημήτριος,38.239973,21.741481,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>702 Σούλι<br>703 Μπεγουλάκι - Σαραβάλι<br>704 Σαραβάλι - Κρήνη<br>706 Parking Περιβόλα<br>707 Σούλι - Σαραβάλι<br>801 Άνω - Κάτω Οβρυά - Δεμένικα<br>803 Καλλιθέα - Θέα - Δεμένικα
Γραίτζα Παλαιολόγου,38.238976,21.74368,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
3ου Ορειβατικού,38.23916,21.745182,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Πλατεία Ταμπάχανα,38.240275,21.745802,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>401 Αρόη
12ου Συντάγματος,38.239561,21.74795,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Γ' Νεκροταφείο Πατρών,38.238832,21.749651,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Εγλυκάδος,38.237523,21.751268,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Πάρκο,38.235401,21.752486,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Παρασκευοπούλου,38.233702,21.754643,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Κλεάρχου,38.232338,21.756834,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Σάντο,38.230773,21.758119,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Λυσάνδρου,38.229498,21.760936,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Λεωνίδου,38.227802,21.76203,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Άγιος Ανδρέας Εγλυκάδας,38.226862,21.761799,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
41ο Δημοτικό Σχολείο Πατρών,38.225878,21.762006,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Πέλοπος,38.225551,21.7597,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Χάραμα,38.225718,21.758178,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Σικελιανού,38.225545,21.759594,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Μαραθωνομάχων,38.225776,21.762131,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
